rider_id,age,ratings,restaurant_latitude,restaurant_longitude,delivery_latitude,delivery_longitude,order_date,weather,traffic,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city_type,time_taken,city_name,order_day,order_month,order_day_of_week,is_weekend,pickup_time_minutes,order_time_hour,order_time_of_day,distance,is_traffic_jam,is_severe_weather,is_order_stacked,pickup_to_distance_ratio,is_peak_rush_hour,is_metro,rider_experience_index,is_festival
mumres01del03,26.0,4.7,19.12663,72.829976,19.18663,72.889976,2022-03-09,windy,jam,2,snack,electric_scooter,1,no,metropolitian,19,mum,9,3,wednesday,0,10.0,20.0,night,9.177683834695673,1,0,1,1.0333050935337218,1,1,1.7407407407407407,0
surres20del01,21.0,4.9,21.15276,72.778059,21.19276,72.818059,2022-03-17,windy,medium,2,drinks,motorcycle,1,no,metropolitian,20,sur,17,3,thursday,0,5.0,15.0,afternoon,6.08153593718375,0,0,1,0.7597010861479104,0,1,2.227272727272727,0
mysres02del01,30.0,4.7,12.304569,76.643622,12.314569,76.653622,2022-03-26,stormy,low,2,meal,scooter,1,no,metropolitian,29,mys,26,3,saturday,1,10.0,,after_midnight,1.5545625412407005,0,1,1,4.867216158803928,0,1,1.5161290322580645,0
japres05del03,32.0,4.7,26.905287,75.794592,27.045287,75.934592,2022-04-04,windy,medium,0,buffet,motorcycle,1,no,metropolitian,46,jap,4,4,monday,0,15.0,18.0,evening,20.85227088046227,0,0,1,0.7025013912560131,0,1,1.4242424242424243,0
ranchires18del03,34.0,4.9,23.351489,85.324253,23.411489,85.384253,2022-03-30,sandstorms,jam,1,meal,scooter,0,no,urban,29,ranchi,30,3,wednesday,0,5.0,21.0,night,9.056095962462344,1,1,0,0.523226223307163,1,0,1.4,0
chenres01del02,30.0,4.2,13.005801,80.250744,13.135801,80.380744,2022-03-14,stormy,medium,0,drinks,motorcycle,1,no,metropolitian,47,chen,14,3,monday,0,10.0,18.0,evening,20.17984922053873,0,1,1,0.48356251988859955,0,1,1.3548387096774193,0
ludhres15del02,29.0,4.9,30.899584,75.809346,30.949584,75.859346,2022-02-13,fog,low,0,snack,motorcycle,1,no,metropolitian,20,ludh,13,2,sunday,1,15.0,23.0,night,7.325157361461918,0,1,1,1.9168943584282958,0,1,1.6333333333333333,0
mumres17del02,38.0,4.5,19.121999,72.908493,19.141999,72.928493,2022-03-15,fog,low,0,drinks,motorcycle,1,no,metropolitian,22,mum,15,3,tuesday,0,10.0,10.0,morning,3.059443338897214,0,1,1,2.8094280616075764,0,1,1.1538461538461537,0
japres04del03,38.0,5.0,26.902328,75.794257,26.992328,75.884257,2022-03-18,cloudy,medium,2,snack,scooter,2,no,metropolitian,42,jap,18,3,friday,0,15.0,18.0,evening,13.406506203190968,0,0,1,1.0786318131119175,0,1,1.2820512820512822,0
knpres08del03,22.0,4.5,,,,,2022-02-17,stormy,low,2,snack,electric_scooter,0,no,metropolitian,18,knp,17,2,thursday,0,10.0,22.0,night,9.19301447226696,0,1,0,1.0316708005142639,1,1,1.9565217391304348,0
