Feature,Mean_Delay_Impact_Minutes
cat__traffic_low,2.22
num__distance,2.2
num__ratings,2.04
num__age,1.96
cat__weather_sunny,1.4
cat__type_of_vehicle_motorcycle,1.03
bin__is_traffic_jam,0.83
bin__is_order_stacked,0.8
num__rider_experience_index,0.67
bin__is_severe_weather,0.59
cat__city_type_urban,0.57
cat__weather_fog,0.55
cat__weather_windy,0.46
cat__traffic_jam,0.35
bin__is_festival,0.33
cat__weather_stormy,0.15
cat__weather_sandstorms,0.12
num__order_time_hour,0.11
cat__traffic_medium,0.1
cat__type_of_vehicle_scooter,0.08
bin__is_metro,0.08
cat__city_type_semi-urban,0.06
num__pickup_to_distance_ratio,0.06
bin__is_peak_rush_hour,0.05
cat__order_day_of_week_thursday,0.04
cat__order_day_of_week_wednesday,0.02
cat__type_of_vehicle_electric_scooter,0.02
cat__type_of_order_meal,0.02
cat__city_name_vad,0.02
cat__type_of_order_drinks,0.02
cat__city_name_alh,0.01
cat__type_of_order_snack,0.01
num__pickup_time_minutes,0.01
cat__city_name_aurg,0.01
cat__city_name_bhp,0.01
cat__city_name_hyd,0.01
cat__city_name_indo,0.01
cat__city_name_mum,0.01
cat__city_name_pune,0.01
cat__order_day_of_week_monday,0.01
cat__city_name_jap,0.01
cat__city_name_ranchi,0.01
cat__order_day_of_week_tuesday,0.01
cat__city_name_mys,0.0
cat__city_name_ludh,0.0
cat__city_name_knp,0.0
cat__city_name_chen,0.0
cat__city_name_goa,0.0
cat__city_name_deh,0.0
cat__city_name_bang,0.0
cat__city_name_coimb,0.0
cat__city_name_koc,0.0
cat__city_name_kol,0.0
cat__order_day_of_week_saturday,0.0
cat__order_day_of_week_sunday,0.0
cat__city_name_sur,0.0
bin__is_weekend,0.0
