Buffer_Minutes,Late_Deliveries_Count,Late_Delivery_Rate_Pct,Refund_Payout_INR,Conversion_Drag_INR,Total_SLA_Cost_INR
0,4407,48.42,528840.0,0.0,528840.0
1,3674,40.37,440880.0,31854.0,472734.0
2,2961,32.53,355320.0,63707.0,419027.0
3,2338,25.69,280560.0,95560.0,376120.0
4,1756,19.29,210720.0,127414.0,338134.0
5,1292,14.2,155040.0,159268.0,314308.0
6,874,9.6,104880.0,191121.0,296001.0
7,628,6.9,75360.0,222974.0,298334.0
8,455,5.0,54600.0,254828.0,309428.0
9,323,3.55,38760.0,286682.0,325442.0
10,233,2.56,27960.0,318535.0,346495.0
11,166,1.82,19920.0,350388.0,370308.0
12,123,1.35,14760.0,382242.0,397002.0
13,88,0.97,10560.0,414096.0,424656.0
14,66,0.73,7920.0,445949.0,453869.0
15,50,0.55,6000.0,477802.0,483802.0
